LavatoryID	Description	City	Street	Number (Time)	PostalCode	Country	Longitude	Latitude	isOwnedByWall	isHandicappedAccessible	Price	canBePayedWithCoins	canBePayedInApp	canBePayedWithNFC	hasChangingTable	LabelID
Wall_101003	Toilette Ottmachauer Steig (oberhalb Badestelle Ostufer)	Berlin	Krumme Lanke, Quermatenweg	(0-24 Uhr)	14109	Deutschland	13,24057481	52,45358117	1	0	0	0	0	0	0	5
Wall_10357	Wall CT, Ostseestr.	Berlin	Ostseestr.	1 (0-24 Uhr)	10409	Deutschland	13,43050531	52,55108292	1	1	0,5	1	0	0	0	2
Wall_112911	Toilette Uferweg	Berlin	Schlachtensee , Am Schlachtensee	ggü. 145 (0-24 Uhr)	14129	Deutschland	13,19922876	52,43650689	1	0	0	0	0	0	0	5
Wall_115753	Toilette Am Kiesteich 50	Berlin	Spektepark	(0-24 Uhr)	13589	Deutschland	13,16485933	52,54883988	1	0	0	0	0	0	0	5
Wall_116739	Wall CT, Lindenufer	Berlin	Lindenufer	ggü. 10 (0-24 Uhr)	13597	Deutschland	13,20776401	52,53735111	1	1	0,5	1	1	0	0	1
Wall_116752	Wall CT, Friedhof Eythstr., Eythst.	Berlin	Friedhof Eythstr., Eythst.	1-25 (0-24 Uhr)	12105	Deutschland	13,36647416	52,45960764	1	1	0,5	1	1	0	0	1
Wall_118285	Wall CT, Weberwiese, Marchlewskistr.	Berlin	Weberwiese, Marchlewskistr.	ggü. 16 (0-24 Uhr)	10243	Deutschland	13,44277931	52,5160935	1	1	0,5	1	1	0	0	1
Wall_11952	Toilette Rüdesheimer Str.	Berlin	Rüdesheimer Platz	6 (0-24 Uhr)	14197	Deutschland	13,314755	52,473363	1	0	0	0	0	0	0	4
Wall_11953	Toilette Leuthener Str.	Berlin	Leuthener Platz , Naumannstr.	(0-24 Uhr)	10829	Deutschland	13,363288	52,481146	1	0	0	0	0	0	0	4
Wall_119670	Toilette Bulgarische Str.	Berlin	Treptower Park, Weltspielplatz/Alt-Treptow	(7-22 Uhr)	12435	Deutschland	13,48005605	52,48551872	1	0	0,5	0	0	0	0	5
Wall_119671	Toilette	Berlin	S Bhf. Treptower Park, Stern und Kreisschiffahrt/Puschkinallee	15 (7-22 Uhr)	12435	Deutschland	13,46334589	52,49342186	1	0	0,5	0	0	0	0	5
Wall_119989	Wall CT, Pestalozzistr.	Berlin	Pestalozzistr.	77 (0-24 Uhr)	10627	Deutschland	13,306683	52,5078805	1	1	0,5	1	1	0	0	1
Wall_119990	Wall CT, Preußenallee	Berlin	Preußenallee	(0-24 Uhr)	14052	Deutschland	13,26015043	52,51614784	1	1	0,5	1	1	0	0	1
Wall_119991	Wall CT, Hochmeisterplatz, Westfälische Str.	Berlin	Hochmeisterplatz, Westfälische Str.	ggü. 70 (0-24 Uhr)	10709	Deutschland	13,29939664	52,49529797	1	1	0,5	1	1	0	0	1
Wall_119992	Wall CT, Humboldthain, Gustav-Meyer-Allee	Berlin	Humboldthain, Gustav-Meyer-Allee	(0-24 Uhr)	13355	Deutschland	13,39051341	52,54474837	1	1	0,5	1	1	0	0	1
Wall_119994	Wall CT, Alt-Moabit	Berlin	Alt-Moabit	ggü. 81-82 (0-24 Uhr)	10555	Deutschland	13,3355016	52,52499595	1	1	0,5	1	1	0	0	1
Wall_119995	Wall CT, Buddeplatz (S-Bhf. Tegel), Buddestr.	Berlin	Buddeplatz (S-Bhf. Tegel), Buddestr.	ggü. 12 (0-24 Uhr)	13507	Deutschland	13,28855267	52,58809291	1	1	0,5	1	1	0	0	1
Wall_119996	Wall CT, Göschenplatz, Oranienburger Str.	Berlin	Göschenplatz, Oranienburger Str.	185 (0-24 Uhr)	13437	Deutschland	13,33233623	52,59754508	1	1	0,5	1	1	0	0	1
Wall_119997	Wall CT, Am Märchenbrunnen, Friedenstr.	Berlin	Am Märchenbrunnen, Friedenstr.	ggü. 4 (0-24 Uhr)	10249	Deutschland	13,42739337	52,52711565	1	1	0,5	1	1	0	0	1
Wall_119998	Wall CT, Forckenbeckplatz, Eldenaer Str.	Berlin	Forckenbeckplatz, Eldenaer Str.	ggü. 44-45 (0-24 Uhr)	10247	Deutschland	13,46108994	52,51995535	1	1	0,5	1	1	0	0	1
Wall_119999	Wall CT, Degnerstr.	Berlin	Degnerstr.	5 (0-24 Uhr)	13053	Deutschland	13,49426207	52,54559582	1	1	0,5	1	1	0	0	1
Wall_120000	Wall CT, Gürtelstr.	Berlin	Gürtelstr.	(0-24 Uhr)	10247	Deutschland	13,47697618	52,51314661	1	1	0,5	1	1	0	0	1
Wall_120001	Wall CT, Kladower Damm	Berlin	Kladower Damm	387 (0-24 Uhr)	14089	Deutschland	13,14391838	52,45375126	1	1	0,5	1	1	0	0	1
Wall_120002	Wall CT, Hellersdorfer Str.	Berlin	Hellersdorfer Str.	78 (0-24 Uhr)	12619	Deutschland	13,5884471	52,52086724	1	1	0,5	1	1	0	0	1
Wall_120003	Wall CT, Ahrensfelder Platz	Berlin	Ahrensfelder Platz	(0-24 Uhr)	12689	Deutschland	13,56583554	52,57009937	1	1	0,5	1	1	0	0	1
Wall_120004	Wall CT, Lipschitzplatz	Berlin	Lipschitzplatz	(0-24 Uhr)	12353	Deutschland	13,46317976	52,42383789	1	1	0,5	1	1	0	0	1
Wall_120005	Wall CT, Richardplatz	Berlin	Richardplatz	17 (0-24 Uhr)	12055	Deutschland	13,44538488	52,4740719	1	1	0,5	1	1	0	0	1
Wall_120006	Wall CT, Kollwitzplatz, Kollwitzstr.	Berlin	Kollwitzplatz, Kollwitzstr.	ggü. 56A (0-24 Uhr)	10435	Deutschland	13,417025	52,53558335	1	1	0,5	1	1	0	0	1
Wall_120007	Wall CT, Elsa-Brändström-Str.	Berlin	Elsa-Brändström-Str.	2 (0-24 Uhr)	13189	Deutschland	13,41353517	52,55983408	1	1	0,5	1	1	0	0	1
Wall_120008	Wall CT, Alt-Mariendorf	Berlin	Alt-Mariendorf	33 (0-24 Uhr)	12107	Deutschland	13,38791218	52,44015873	1	1	0,5	1	1	0	0	1
Wall_120009	Wall CT, Hauptstr.	Berlin	Hauptstr.	128 (0-24 Uhr)	10827	Deutschland	13,35281188	52,48432516	1	1	0,5	1	1	0	0	1
Wall_120010	Wall CT, Argentinische Allee	Berlin	Argentinische Allee	(0-24 Uhr)	14163	Deutschland	13,24017109	52,44234287	1	1	0,5	1	1	0	0	1
Wall_120011	Wall CT, S-Bhf. Zehlendorf, Teltower Damm	Berlin	S-Bhf. Zehlendorf, Teltower Damm	37-39 (0-24 Uhr)	14165	Deutschland	13,259629	52,430962	1	1	0,5	1	1	0	0	1
Wall_120012	Wall CT, Brauerstr.	Berlin	Brauerstr.	ggü. 1 (0-24 Uhr)	12209	Deutschland	13,326157	52,427696	1	1	0,5	1	1	0	0	1
Wall_120013	Wall CT, S-Bhf. Grünau, Wassersportallee	Berlin	S-Bhf. Grünau, Wassersportallee	(0-24 Uhr)	12527	Deutschland	13,574246	52,413678	1	1	0,5	1	1	0	0	1
Wall_120014	Wall CT, Sterndamm	Berlin	Sterndamm	8-10 (0-24 Uhr)	12487	Deutschland	13,50934272	52,45369117	1	1	0,5	1	1	0	0	1
Wall_120015	Wall CT, S-Bhf. Köpenick, Stellingdamm	Berlin	S-Bhf. Köpenick, Stellingdamm	ggü. 1 (0-24 Uhr)	12555	Deutschland	13,58021912	52,45884687	1	1	0,5	1	1	0	0	1
Wall_120016	Wall CT, Kiefholzstr.	Berlin	Kiefholzstr.	258 (0-24 Uhr)	12437	Deutschland	13,48680536	52,46589117	1	1	0,5	1	1	0	0	1
Wall_120017	Wall CT, Plesser Str.	Berlin	Plesser Str.	7 (0-24 Uhr)	12435	Deutschland	13,45114979	52,48906464	1	1	0,5	1	1	0	0	1
Wall_120018	Wall CT, Schivelbeiner Str.	Berlin	Schivelbeiner Str.	1 (0-24 Uhr)	10439	Deutschland	13,41343229	52,55067675	1	1	0,5	1	1	0	0	1
Wall_120019	Wall CT, Bornholmer Str.	Berlin	Bornholmer Str.	94 (0-24 Uhr)	10439	Deutschland	13,41329416	52,55375525	1	1	0,5	1	1	0	0	1
Wall_120020	Wall CT, Steglitzer Damm	Berlin	Steglitzer Damm	ggü. 3 (0-24 Uhr)	12167	Deutschland	13,33620516	52,45100851	1	1	0,5	1	1	0	0	1
Wall_120021	Wall CT, Leonorenstr.	Berlin	Leonorenstr.	ggü. 67 (0-24 Uhr)	12247	Deutschland	13,34311524	52,43895764	1	1	0,5	1	1	0	0	1
Wall_120022	Wall CT, Platz der Luftbrücke, Tempelhofer Damm	Berlin	Platz der Luftbrücke, Tempelhofer Damm	(0-24 Uhr)	12101	Deutschland	13,38683242	52,48424032	1	1	0,5	1	1	0	0	1
Wall_120023	Wall CT, Kurt-Schumacher-Platz, Scharnweberstr.	Berlin	Kurt-Schumacher-Platz, Scharnweberstr.	ggü. 19 (0-24 Uhr)	13405	Deutschland	13,32671558	52,56391959	1	1	0,5	1	1	0	0	1
Wall_120024	Wall CT, Gudrunstr.	Berlin	Gudrunstr.	20 (0-24 Uhr)	10365	Deutschland	13,50882	52,51505	1	1	0,5	1	1	0	0	1
Wall_120185	Wall CT, Urbanstr.	Berlin	Urbanstr.	21 (0-24 Uhr)	10961	Deutschland	13,4085659	52,49274405	1	1	0,5	1	1	0	0	1
Wall_120186	Wall CT, Planufer	Berlin	Planufer	(0-24 Uhr)	10967	Deutschland	13,41983203	52,49567026	1	1	0,5	1	1	0	0	1
Wall_120188	Wall CT, Gneisenaustr.	Berlin	Gneisenaustr.	39 (0-24 Uhr)	10961	Deutschland	13,398054	52,490534	1	1	0,5	1	1	0	0	1
Wall_120189	Wall CT, Görlitzer Park, Wiener Str.	Berlin	Görlitzer Park, Wiener Str.	59A (0-24 Uhr)	10999	Deutschland	13,43915689	52,49505807	1	1	0,5	1	1	0	0	1
Wall_120190	Wall CT, Platz der Vereinten Nationen, Landsberger Allee	Berlin	Platz der Vereinten Nationen, Landsberger Allee	(0-24 Uhr)	10249	Deutschland	13,43298563	52,52350857	1	1	0,5	1	1	0	0	1
Wall_120191	Wall CT, Erich-Steinfurth-Str.	Berlin	Erich-Steinfurth-Str.	(0-24 Uhr)	10243	Deutschland	13,43455729	52,51147737	1	1	0,5	1	1	0	0	1
Wall_120193	Wall CT, Wühlischplatz, Wühlischstr.	Berlin	Wühlischplatz, Wühlischstr.	ggü. 11 (0-24 Uhr)	10245	Deutschland	13,46391551	52,50790004	1	1	0,5	1	1	0	0	1
Wall_120205	Wall CT, Grellstr.	Berlin	Grellstr.	39 (0-24 Uhr)	10409	Deutschland	13,43822268	52,54148322	1	1	0,5	1	1	0	0	1
Wall_120206	Wall CT, Bülowstr.	Berlin	Bülowstr.	ggü. 49 (0-24 Uhr)	10829	Deutschland	13,36691412	52,49385169	1	1	0,5	1	1	0	0	1
Wall_120207	Wall CT, Reinickendorfer Str.	Berlin	Reinickendorfer Str.	9 (0-24 Uhr)	13347	Deutschland	13,3699105	52,54161114	1	1	0,5	1	1	0	0	1
Wall_120208	Wall CT, Osloer Str.	Berlin	Osloer Str.	18 (0-24 Uhr)	13359	Deutschland	13,3843708	52,55596141	1	1	0,5	1	1	0	0	1
Wall_120209	Wall CT, Köllnischer Park, Rungestr.	Berlin	Köllnischer Park, Rungestr.	31 (0-24 Uhr)	10179	Deutschland	13,41357257	52,51270771	1	1	0,5	1	1	0	0	1
Wall_120210	Wall CT, Dürerplatz	Berlin	Dürerplatz	5 (0-24 Uhr)	12157	Deutschland	13,34150163	52,46954341	1	1	0,5	1	1	0	0	1
Wall_120211	Wall CT, Priesterweg	Berlin	Priesterweg	S-Bahnhof (0-24 Uhr)	12157	Deutschland	13,355711	52,459251	1	1	0,5	1	1	0	0	1
Wall_120212	Wall CT, Marienfelder Allee	Berlin	Marienfelder Allee	144-146 (0-24 Uhr)	12277	Deutschland	13,36315439	52,41349844	1	1	0,5	1	1	0	0	1
Wall_120213	Wall CT, Friedrichstr.	Berlin	Friedrichstr.	ggü. 10-11 (0-24 Uhr)	10969	Deutschland	13,391234	52,501269	1	1	0,5	1	1	0	0	1
Wall_120214	Wall CT, Im Domstift	Berlin	Im Domstift	(0-24 Uhr)	12309	Deutschland	13,41016173	52,38777878	1	1	0,5	1	1	0	0	1
Wall_120215	Wall CT, Nöldnerplatz, Archibaldweg	Berlin	Nöldnerplatz, Archibaldweg	(0-24 Uhr)	10317	Deutschland	13,48398	52,50302	1	1	0,5	1	1	0	0	1
Wall_120216	Wall CT, Marzahner Promenade (Fußgängerzone)	Berlin	Marzahner Promenade (Fußgängerzone)	30-33 (0-24 Uhr)	12679	Deutschland	13,549245	52,544367	1	1	0,5	1	1	0	0	1
Wall_120222	Wall CT, Waldstr.	Berlin	Waldstr.	1 (0-24 Uhr)	10551	Deutschland	13,33060649	52,52741489	1	1	0,5	1	1	0	0	1
Wall_120223	Wall CT, Hugenottenplatz, Schweizer Tal	Berlin	Hugenottenplatz, Schweizer Tal	ggü. 48 (0-24 Uhr)	13127	Deutschland	13,42056481	52,60714453	1	1	0,5	1	1	0	0	1
Wall_120224	Wall CT, Hohenzollerndamm	Berlin	Hohenzollerndamm	(0-24 Uhr)	14199	Deutschland	13,28197635	52,47694105	1	1	0,5	1	1	0	0	1
Wall_120225	Wall CT, Wilhelminenhofstr.	Berlin	Wilhelminenhofstr.	54 (0-24 Uhr)	12459	Deutschland	13,52667175	52,45859286	1	1	0,5	1	1	0	0	1
Wall_120226	Wall CT, Bundesallee, Friedrich-Wilhelm-Platz	Berlin	Bundesallee, Friedrich-Wilhelm-Platz	4 (0-24 Uhr)	12161	Deutschland	13,32793177	52,47256281	1	1	0,5	1	1	0	0	1
Wall_120227	Wall CT, Achillesstr.	Berlin	Achillesstr.	ggü. 59 (0-24 Uhr)	13125	Deutschland	13,48851	52,617635	1	1	0,5	1	1	0	0	1
